model_type,prune_type,global_density,sparsity_mean,sparsity_std,sparsity_count,sm_mean,sm_std,sm_count,rm_mean,rm_std,rm_count,ism_mean,ism_std,ism_count,irm_mean,irm_std,irm_count,ism_norm_mean,ism_norm_std,ism_norm_count,irm_norm_mean,irm_norm_std,irm_norm_count,t1m_mean,t1m_std,t1m_count,t2m_mean,t2m_std,t2m_count,ep_mean,ep_std,ep_count,imax_ep_mean,imax_ep_std,imax_ep_count,i_mean_ep_mean,i_mean_ep_std,i_mean_ep_count,random_factor_mean,random_factor_std,random_factor_count,copeland_score_mean,copeland_score_std,copeland_score_count,compatibility_mean,compatibility_std,compatibility_count,overlap_coefs_mean,overlap_coefs_std,overlap_coefs_count,rm_norm_mean,rm_norm_std,rm_norm_count,sm_norm_mean,sm_norm_std,sm_norm_count,perc_ram_by_rm_mean,perc_ram_by_irm_mean,acc,acc_std
resnet34,GraSP,0.01,0.06905587844132875,0.08678076315376716,1.0,-2.0952693521756625,2.0758751757322367,0.9803921568627452,-3.338468821685355,2.8632505928100747,0.9803921568627452,0.5773422075154762,0.6742942560337686,0.6470588235294118,0.19427167790514174,0.9896121340133952,0.6470588235294118,0.08697999996061094,0.11777246257791885,0.6470588235294118,-0.012699089596968622,0.22117303389817997,0.6470588235294118,31.825002785530398,12.16823139204917,0.9803921568627452,12.978789666124266,2.321587294681385,0.9803921568627452,0.36060868088840226,0.4847705557641481,0.9803921568627452,5.532476083483474,2.760034087714097,0.6470588235294118,3.010247385219954,1.6755930021315675,0.6470588235294118,0.03577448745374565,0.04536340659879456,0.9803921568627452,0.9980729708776754,0.9817866754045217,1.0,0.8521435915634676,0.2437378697974158,1.0,0.0001861895919575059,0.0005773473361904731,1.0,-0.4475559127547906,0.38533695603708,0.9803921568627452,-0.21752888924360098,0.21540664651346497,0.9803921568627452,0.19607843137254902,0.392156862745098,0.8001666666666667,0.033713548216308134
resnet34,SynFlow,0.01,0.07641810795023844,0.12654801523662784,1.0,2.4291569858735422,1.02023973737598,1.0,2.8707444252926724,1.6889308420413278,1.0,1.605658592409811,0.5337512820773175,0.9313725490196079,1.832355487430382,0.6011572727066004,0.9313725490196079,0.24032553843729798,0.06594932171264863,0.9313725490196079,0.25836970680472326,0.0560157538839049,0.9313725490196079,49.974761760981536,3.1040429249029713,1.0,11.560979796075557,1.0907035485450323,1.0,0.32492112619579994,0.5103354943353487,1.0,8.96358088107361,4.0040139465827975,0.9313725490196079,5.05095160951849,4.146282277523073,0.9313725490196079,-0.043828527610208286,0.07064849542181473,1.0,0.6436735166912424,0.6114176034469674,1.0,0.5814047552875555,0.37840364975507723,1.0,0.0004740770100637961,0.0011760495129048956,1.0,0.1931482908345565,0.09544299377491756,1.0,0.17369761198129693,0.0729845803767509,1.0,0.9705882352941176,0.9313725490196078,0.8347666666666668,0.014953371972011326
resnet34,GraSP,0.4,0.4263363984272366,0.16680302758457047,1.0,4.64779138658317,5.1579251320954915,1.0,8.249768391180893,4.476986836831879,1.0,2.671315825060381,1.1121085512594129,1.0,4.352337747132074,0.9501239728162798,1.0,0.2210853401146991,0.10066592917861486,1.0,0.31826012447171964,0.028124076842670816,1.0,241.89362056862743,116.52899422708239,1.0,25.329664588235296,9.923301511267702,1.0,0.26975906841023917,0.33203975226598464,1.0,34.53702907591938,24.06995850916581,1.0,12.611332839315438,13.853047033735688,1.0,-0.10322744809501969,0.13899792894948956,1.0,0.7876152722712826,0.3791765041712652,1.0,0.9395163005499347,0.23872143470962826,1.0,0.0035476681717928013,0.0023024801622386665,1.0,0.26096806789185006,0.11584125717962604,1.0,0.16734489567212238,0.1504645888834514,1.0,0.9411764705882352,1.0,0.5683666666666667,0.07301139180520622
resnet34,SynFlow,0.4,0.7723522486828118,0.3060362574201626,1.0,26.284689192719835,3.7036351935746543,1.0,31.138901973536075,3.454335648341464,1.0,12.09334777324571,3.2443819249010795,1.0,14.958296006577378,3.5658860451408345,1.0,0.6855813791668393,0.16671238932515056,1.0,0.7388444942861072,0.12911653077408392,1.0,425.71942361764707,181.6949954872804,1.0,13.77361242358399,8.885338181745976,1.0,0.2666101122792521,0.3217242606490244,1.0,50.64520384133977,41.463161974118464,1.0,14.25510831977021,13.30287003840637,1.0,-0.6813864147692335,0.3024924036868411,1.0,0.7909006642214224,0.3755931382656906,1.0,0.9411764705882353,0.2388325736106128,1.0,0.4464211457998486,0.3687129052252842,1.0,0.7237833013245968,0.13561229297306304,1.0,0.6908757988614336,0.15513607824165612,1.0,1.0,1.0,0.7669,0.13087031749025443
resnet34,GraSP,0.05,0.16552570762462968,0.12680961419911527,1.0,-5.499525756215235,7.508141329334744,1.0,-5.225252524878298,8.294649293808538,1.0,0.5344162578872451,1.052520196017062,0.892156862745098,0.9533052817776504,0.974362522754909,0.892156862745098,0.06804425496895715,0.14076674074358406,0.892156862745098,0.11327056442669527,0.13234828716511465,0.892156862745098,83.67755788235293,16.647490346600122,1.0,23.57824030392157,8.494726248381916,1.0,0.29914181941293594,0.41202332956800386,1.0,14.223764586583231,5.413821968868999,0.892156862745098,7.440032212169595,4.701214965788758,0.892156862745098,0.09408889717751127,0.1521198872142043,1.0,0.806276139821492,0.4318285686479436,1.0,0.9196671174856453,0.23952705629706808,1.0,0.0003535275899814725,0.000763987852362554,1.0,-0.28601309667512537,0.45447537074583355,1.0,-0.2874342220928198,0.40439992332328256,1.0,0.411764705882353,0.7450980392156863,0.7155333333333332,0.1358848900111169
resnet34,SynFlow,0.05,0.2453194880654084,0.2765258591111035,1.0,4.447401411568032,2.6945328214126203,1.0,5.535916320184657,4.195731594110775,1.0,2.1099053981212323,1.91525556064454,0.9901960784313725,3.3726421117578567,2.135314635635277,0.9901960784313725,0.22436042289275895,0.17545912356320265,0.9901960784313725,0.3126391369724328,0.13282210805775418,0.9901960784313725,115.67451813725489,30.386623450130305,1.0,16.844515794117644,4.3328655953207535,1.0,0.29469949436843956,0.4055123545855934,1.0,23.46492227236825,16.40558899900156,0.9901960784313725,13.070236946990015,15.109001278421495,0.9901960784313725,-0.1381807316884435,0.20804347866252942,1.0,0.8353492460560565,0.6814840903845814,1.0,0.8411544556811383,0.2862396138745723,1.0,0.005686565711156034,0.01155064844936964,1.0,0.2444395647601292,0.1692664412258391,1.0,0.21687001269438624,0.1508129701119669,1.0,0.9705882352941176,0.9901960784313726,0.8554666666666667,0.001850225211517019
resnet34,GraSP,0.2,0.39580670190914363,0.16186688407238314,1.0,1.5992788674606095,10.083480025616467,1.0,4.754617349983705,9.2459099709365,1.0,2.096014591634449,1.166228372623116,1.0,3.802257273847499,0.8950352450336645,1.0,0.18704218253027174,0.11812311245115067,1.0,0.2941354544613929,0.05421019174454112,1.0,221.0476165588235,99.13221198178367,1.0,27.182870578431377,14.199249724678273,1.0,0.2712033571040459,0.3352726685850155,1.0,33.839114296981705,23.70387821327963,1.0,14.009945378599532,16.31597941645514,1.0,-0.007709039360348702,0.30010514842169206,1.0,0.782174745611116,0.36415119454781375,1.0,0.9384627555602637,0.23869622195143314,1.0,0.0026605709230337928,0.0020833725568810114,1.0,0.1824342549328274,0.24912974302461774,1.0,0.08606210000394202,0.29569949914285687,1.0,0.8431372549019608,1.0,0.5357666666666666,0.14918553325752915
resnet34,SynFlow,0.2,0.5299567357562328,0.3273772999659579,1.0,12.274161275343891,4.8119833165546,1.0,14.992077920225546,6.034951761802321,1.0,5.048423655675479,4.24771863567694,1.0,7.549016743726633,4.178621142040582,1.0,0.36918406393336767,0.29357537201357553,1.0,0.48240461593367695,0.2146078662405671,1.0,259.02240460784316,68.9943612627767,1.0,19.506482710392156,8.195211073688835,1.0,0.2664404160801795,0.3210620484459928,1.0,45.24984348326586,31.22146098800447,1.0,18.36055780948747,18.223864998862176,1.0,-0.36333584405627906,0.343530627083368,1.0,0.7744679472171793,0.3642847349749006,1.0,0.9411764705882353,0.2388325736106128,1.0,0.14933658409857317,0.23213326407557747,1.0,0.4501353719197002,0.2183398626879643,1.0,0.41175687785769405,0.21854798135101822,1.0,1.0,1.0,0.7613333333333333,0.0981812779165831
resnet34,GraSP,0.1,0.2528062213824603,0.14111767119523672,1.0,-4.241361500637342,10.448422489465806,1.0,-2.695317074789713,10.487989608268046,1.0,0.8364554165589307,1.226362414037609,0.9607843137254901,1.9758460350466098,0.8436575987938273,0.9607843137254901,0.09733400718954381,0.14275420673373024,0.9607843137254901,0.19598880010512984,0.09487353777446195,0.9607843137254901,134.2449028235294,41.10338244219011,1.0,26.998235897058823,12.975630222382904,1.0,0.2864286501417243,0.3799333392482827,1.0,23.62625786631788,13.430304164301566,0.9607843137254901,12.151426734150526,13.09409937158266,0.9607843137254901,0.10442256656268215,0.28418518200697934,1.0,0.7528808219906162,0.3395771368468697,1.0,0.9292331221417109,0.23972791427952064,1.0,0.0006841011246857001,0.0010838028261273976,1.0,-0.07486005699212274,0.3950230132306636,1.0,-0.147427336408122,0.4146303711717535,1.0,0.5098039215686274,0.9509803921568628,0.5257999999999999,0.12748721504527422
resnet34,SynFlow,0.1,0.3692304082955881,0.32112882134486637,1.0,6.816192497677031,3.9401196999144856,1.0,8.399775277867507,5.62781566714141,1.0,2.85532190470474,3.0211790887515906,1.0,4.755397881326926,3.0016587438743194,1.0,0.2538344881755772,0.2510999629323175,1.0,0.37067832247413485,0.1821063498653066,1.0,170.09808349019607,42.57717475172377,1.0,19.01820211568628,6.110428606860818,1.0,0.2772976771502399,0.34467569852957713,1.0,33.57278429052058,22.366982863030483,1.0,17.656949357075305,18.82456609929662,1.0,-0.22142017499644162,0.28461242649287377,1.0,0.8216670633969354,0.4610727422059195,1.0,0.9132927375009379,0.24617730465746748,1.0,0.044010317099414976,0.08613891644363413,1.0,0.30760882547200213,0.21157667550137402,1.0,0.2785564819985913,0.19634232891943568,1.0,1.0,1.0,0.8606666666666666,0.012444409722173758
